Item Name,Class ID,Confidence,X,Y,Width,Height
car,2,0.9986920356750488,218,198,81,56
car,2,0.9984579682350159,412,170,70,58
car,2,0.9984369874000549,237,312,121,89
car,2,0.9954431653022766,672,110,64,38
car,2,0.9930210113525391,444,232,82,56
car,2,0.9928596019744873,108,223,98,84
car,2,0.9919739365577698,44,71,58,35
car,2,0.9840784668922424,105,170,80,51
car,2,0.9838442802429199,380,138,72,57
car,2,0.9828848242759705,500,343,116,67
car,2,0.9611499905586243,128,127,73,52
car,2,0.9458240866661072,95,94,50,40
car,2,0.9363800287246704,165,76,54,41
truck,7,0.9303724765777588,261,83,69,70
car,2,0.9073565006256104,528,42,43,36
car,2,0.8944559693336487,357,61,46,25
car,2,0.876491367816925,261,50,52,22
car,2,0.8436201214790344,457,28,41,32
car,2,0.8377696871757507,389,95,51,26
car,2,0.817650318145752,509,19,36,29
car,2,0.8168498277664185,337,20,42,20
car,2,0.7964439988136292,538,33,36,23
car,2,0.7833948135375977,440,23,33,25
car,2,0.7581856846809387,387,110,57,45
car,2,0.7230237722396851,352,45,37,25
car,2,0.6802817583084106,376,74,49,31
car,2,0.6616618633270264,325,19,24,18
bus,5,0.6551211476325989,673,27,61,51
car,2,0.6457527279853821,278,0,23,7
car,2,0.6395489573478699,338,41,24,24
bus,5,0.6260222792625427,588,23,85,85
car,2,0.6121468544006348,274,7,26,10
car,2,0.6082115173339844,558,14,27,21
car,2,0.6040833592414856,324,1,29,19
car,2,0.5329095721244812,274,12,28,13
car,2,0.529833197593689,544,4,26,13
car,2,0.5154008865356445,364,81,17,21
car,2,0.5070399045944214,227,0,21,7
