Frame Number,Class,Confidence,X,Y,Width,Height
1,car,0.9696702361106873,196,257,73,54
1,car,0.8572579026222229,470,305,101,69
1,car,0.790393590927124,607,221,62,39
1,car,0.7450084686279297,276,222,62,40
1,truck,0.7094945907592773,696,321,108,87
1,car,0.682405412197113,69,261,63,42
1,car,0.6491342186927795,557,211,57,35
1,truck,0.6437287330627441,657,306,94,78
1,car,0.6253131628036499,236,193,59,37
1,car,0.5582091212272644,663,246,67,48
1,car,0.5415679216384888,506,272,82,48
2,car,0.9735800623893738,191,256,80,57
2,car,0.8489911556243896,470,307,101,70
2,car,0.7875128984451294,613,221,57,40
2,car,0.768732488155365,69,259,64,44
2,car,0.7210822701454163,275,220,63,41
2,truck,0.7039289474487305,697,322,107,87
2,car,0.6868085861206055,556,212,59,36
2,truck,0.6726146340370178,658,306,92,80
2,car,0.6283934712409973,665,247,65,47
2,car,0.6158180236816406,236,193,60,36
3,car,0.9711854457855225,191,256,81,56
3,car,0.8734534382820129,613,223,58,39
3,car,0.7722650170326233,474,307,97,68
3,truck,0.6842103600502014,697,322,110,89
3,car,0.6659504771232605,278,222,62,40
3,car,0.63579922914505,556,212,59,36
3,truck,0.631237268447876,658,305,89,79
3,car,0.6013676524162292,237,193,59,36
3,car,0.5690879821777344,72,258,63,44
4,car,0.9689782857894897,192,255,84,55
4,car,0.8540902733802795,613,223,59,40
4,car,0.68460613489151,475,307,96,68
4,truck,0.6572079658508301,658,305,87,82
4,truck,0.6400998830795288,697,324,110,88
4,car,0.5830968022346497,555,213,60,36
4,car,0.5700894594192505,280,221,62,39
4,person,0.5350223183631897,742,335,22,14
4,car,0.5146900415420532,238,193,58,36
5,car,0.9763100147247314,195,255,82,55
5,car,0.8761071562767029,614,223,59,41
5,car,0.7712112665176392,697,327,112,86
5,car,0.7402859926223755,555,212,61,37
5,car,0.7174844741821289,659,308,88,82
5,truck,0.6380211710929871,471,310,100,72
5,car,0.6035020351409912,283,221,61,39
6,car,0.9688873291015625,195,255,83,55
6,car,0.8768133521080017,615,222,60,42
6,car,0.8336642384529114,556,212,60,38
6,car,0.7911288142204285,699,325,109,89
6,car,0.773616373538971,658,308,90,83
6,car,0.7638726830482483,284,220,60,39
6,truck,0.7059395909309387,470,313,100,71
6,car,0.502559244632721,668,265,61,32
7,car,0.9659666419029236,199,255,81,54
7,car,0.8122486472129822,617,220,58,45
7,truck,0.7789853811264038,469,314,100,72
7,car,0.7541519999504089,285,221,58,38
7,car,0.7525210976600647,698,326,111,89
7,car,0.7498461008071899,555,211,59,40
7,car,0.6934766173362732,657,309,89,84
8,car,0.9559211134910583,201,253,82,55
8,truck,0.8027010560035706,468,315,100,71
8,car,0.7959973216056824,555,210,59,41
8,car,0.7865915894508362,284,220,59,38
8,car,0.7751105427742004,618,220,59,45
8,truck,0.6819536685943604,687,332,127,82
8,truck,0.6768065690994263,658,309,90,83
9,car,0.9635409712791443,211,254,71,54
9,car,0.8445613384246826,286,220,58,37
9,truck,0.7727965116500854,467,314,101,73
9,car,0.7578541040420532,620,221,58,46
9,car,0.723101794719696,556,209,58,43
9,car,0.7063984870910645,700,331,112,87
9,truck,0.6207802295684814,657,312,89,82
9,person,0.5900204181671143,742,342,21,13
10,car,0.9529295563697815,210,253,74,53
10,car,0.8351558446884155,287,219,57,37
10,car,0.7472836375236511,556,211,57,42
